1/11/16 20:43
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	#Files	
Total:            	    22764	  179723	                   907978	                         1069986	   267	
Pendientes:       	    19888	  170483	                   858911	                         1014460	   250	
Únicos:           	    18710	  169037	                   853104	                         1007491	   267	
Pendientes únicos:	    17957	  163652	                   824620	                          974754	   250	


Estadísticas por archivo individual:

Nombre de archivo                            	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
Type/Array.pod                               	            128	                 117	             101	                         99	              702	                688	            656	                       654	                              3377	                                3298	                            3151	                                       3149	                                     4066	                                       3984	                                   3818	                                              3816	
Type/Associative.pod                         	              8	                   6	               6	                          6	               54	                 50	             50	                        50	                               302	                                 286	                             286	                                        286	                                      348	                                        330	                                    330	                                               330	
Type/AST.pod                                 	              9	                   7	               7	                          7	               82	                 78	             78	                        78	                               388	                                 372	                             372	                                        372	                                      456	                                        438	                                    438	                                               438	
Type/Attribute.pod                           	             93	                  85	              68	                         67	              502	                490	            451	                       448	                              2746	                                2686	                            2485	                                       2471	                                     3153	                                       3086	                                   2862	                                              2846	
Type/Backtrace.pod                           	             28	                  25	              19	                         19	              173	                167	            158	                       158	                               994	                                 965	                             917	                                        917	                                     1128	                                       1096	                                   1045	                                              1045	
Type/Backtrace/Frame.pod                     	             50	                  47	              33	                         33	              211	                205	            184	                       184	                              1166	                                1137	                            1025	                                       1025	                                     1293	                                       1261	                                   1142	                                              1142	
Type/Bag.pod                                 	             48	                  45	              44	                         44	              613	                607	            605	                       605	                              2932	                                2905	                            2890	                                       2890	                                     3507	                                       3477	                                   3461	                                              3461	
Type/Baggy.pod                               	             36	                  20	              16	                         16	              109	                 77	             61	                        61	                               636	                                 451	                             361	                                        361	                                      704	                                        503	                                    404	                                               404	
Type/BagHash.pod                             	             40	                  37	              23	                         23	              555	                549	            416	                       416	                              2790	                                2763	                            2090	                                       2090	                                     3323	                                       3293	                                   2452	                                              2452	
Type/Blob.pod                                	             80	                  77	              59	                         59	              593	                587	            534	                       534	                              2900	                                2871	                            2594	                                       2594	                                     3435	                                       3403	                                   3092	                                              3092	
Type/Block.pod                               	             32	                  27	              27	                         27	              199	                195	            195	                       195	                               931	                                 912	                             912	                                        912	                                     1191	                                       1170	                                   1170	                                              1170	
Type/Bool.pod                                	             13	                  11	               9	                          9	               61	                 57	             48	                        48	                               316	                                 300	                             250	                                        250	                                      358	                                        340	                                    285	                                               285	
Type/Buf.pod                                 	              8	                   6	               6	                          6	               39	                 35	             35	                        35	                               174	                                 158	                             158	                                        158	                                      205	                                        187	                                    187	                                               187	
Type/Callable.pod                            	             31	                  28	              27	                         27	              229	                223	            221	                       221	                              1107	                                1078	                            1063	                                       1063	                                     1304	                                       1272	                                   1256	                                              1256	
Type/Capture.pod                             	             57	                  53	              45	                         45	              500	                494	            479	                       479	                              2312	                                2282	                            2201	                                       2201	                                     2786	                                       2753	                                   2665	                                              2665	
Type/Channel.pod                             	             95	                  83	              63	                         63	              684	                663	            625	                       625	                              3410	                                3301	                            3102	                                       3102	                                     3905	                                       3783	                                   3566	                                              3566	
Type/Code.pod                                	             68	                  65	              45	                         45	              381	                375	            333	                       333	                              1949	                                1920	                            1698	                                       1698	                                     2322	                                       2290	                                   2042	                                              2042	
Type/Complex.pod                             	             44	                  41	              29	                         29	              202	                196	            176	                       176	                              1064	                                1035	                             925	                                        925	                                     1211	                                       1179	                                   1061	                                              1061	
Type/Cool.pod                                	            729	                 719	             587	                        587	             4394	               4373	           4164	                      4164	                             23709	                               23597	                           22448	                                      22448	                                    28026	                                      27901	                                  26661	                                             26661	
